Bact_name	Contig	Best_match	Best_match_ANI	result
Corynebacterium_aquatimens	GCA_019443945.1_ASM1944394v1_genomic.fna	Corynebacterium_bouchesdurhonense-GCA_900078305.2_PRJEB13138_scaff.fna	82.4931	no match
Corynebacterium_diphtheriae	GCA_002200975.1_ASM220097v1_scaff.fna	Corynebacterium_belfantii-GCA_900205605.1_FRC0043a_contig.fna	99.967	no match
Corynebacterium_diphtheriae	GCA_900312965.1__CHUV2995_chromosome_genomic.fna	Corynebacterium_belfantii-GCA_900205605.1_FRC0043a_contig.fna	99.3468	no match
Corynebacterium_mustelae	GCA_915247705.1_SRR1795229_bin.1_metaWRAP_v1.1_MAG_contig.fna	Corynebacterium_matruchotii-GCA_008868665.1_ASM886866v1_contig.fna	96.8529	no match
Corynebacterium_mustelae	GCA_915251935.1_SRR1779502_bin.1_metaWRAP_v1.1_MAG_contig.fna	Corynebacterium_matruchotii-GCA_000158635.1_ASM15863v1_scaff.fna	96.9726	no match
Corynebacterium_mustelae	GCA_915253685.1_SRR1783757_bin.1_metaWRAP_v1.1_MAG_contig.fna	Corynebacterium_matruchotii-GCA_000175375.1_ASM17537v1_contig.fna	97.1077	no match
Dietzia_maris	GCA_001630765.1_scaffolds_contig.fna	Dietzia_papillomatosis-GCA_001570845.1_ASM157084v1_contig.fna	99.2449	no match
Gordonia_westfalica	GCA_008125115.1_ASM812511v1_scaff.fna	Gordonia_namibiensis-GCA_000298235.1_ASM29823v1_contig.fna	97.1429	no match
Mycobacteroides_abscessus	GCA_000280655.1_ASM28065v1_contig.fna	Mycobacteroides_abscessus_subsp._massiliense-GCA_002801795.1_ASM280179v1_contig.fna	99.8576	no match
Mycobacteroides_abscessus	GCA_001213925.1_7396_7_13_scaff.fna	Mycobacteroides_abscessus_subsp._abscessus-GCA_900133125.1_12082_5_53_scaff.fna	99.5272	no match
Mycobacteroides_abscessus	GCA_001214385.1_7520_7_48_contig.fna	Mycobacteroides_abscessus_subsp._massiliense-GCA_017175695.1_ASM1717569v1_contig.fna	99.982	no match
Mycobacteroides_abscessus	GCA_001216105.1_7520_7_32_scaff.fna	Mycobacteroides_abscessus_subsp._massiliense-GCA_017175695.1_ASM1717569v1_contig.fna	99.9787	no match
Mycobacteroides_abscessus_subsp._abscessus	GCA_900135865.1_11893_6_16_scaff.fna	Mycobacteroides_abscessus_subsp._bolletii-GCA_900134295.1_11893_6_15_scaff.fna	97.9933	no match
Mycobacteroides_chelonae	GCA_014204435.1_ASM1420443v1_scaff.fna	Mycobacteroides_saopaulense-GCA_001456355.1_ASM145635v1_genomic.fna	94.4047	no match
Mycobacteroides_chelonae	GCA_900637115.1_48269_G01_genomic.fna	Mycobacteroides_abscessus_subsp._abscessus-GCA_900132885.1_11861_7_65_scaff.fna	80.1547	no match
Mycolicibacterium_aromaticivorans	GCA_016201165.1_ASM1620116v1_scaff.fna	Mycolicibacterium_aichiense-GCA_900453085.1_49677_D01_contig.fna	91.9333	no match
Mycolicibacterium_aurum	GCA_900078775.1_ASM90007877v1_genomic.fna	Mycolicibacterium_neoaurum-GCA_016234225.1_ASM1623422v1_contig.fna	84.1921	no match
Mycolicibacterium_cosmeticum	GCA_016197365.1_ASM1619736v1_contig.fna	Mycolicibacterium_fluoranthenivorans-GCA_900100615.1_IMG-taxon_2593339259_annotated_assembly_scaff.fna	85.9847	no match
Mycolicibacterium_litorale	GCA_002007745.1_ASM200774v1_genomic.fna	Mycolicibacterium_aichiense-GCA_010726245.1_ASM1072624v1_genomic.fna	82.8074	no match
Mycolicibacterium_neoaurum	GCA_016234225.1_ASM1623422v1_contig.fna	Mycolicibacterium_aurum-GCA_900078775.1_ASM90007877v1_genomic.fna	84.2359	no match
Mycolicibacterium_obuense	GCA_014194265.1_ASM1419426v1_scaff.fna	Mycolicibacterium_monacense-GCA_001665825.1_ASM166582v1_contig.fna	99.7317	no match
Mycolicibacterium_phlei	GCA_900637085.1_48269_F01_genomic.fna	Mycolicibacterium_fallax-GCA_002101995.1_ASM210199v1_contig.fna	78.7051	no match
Mycolicibacter_nonchromogenicus	GCA_001050055.1_Mycobacterium_nonchromogenicum_strain_NCK_8460_scaff.fna	Mycolicibacter_acidiphilus-GCA_018455725.1_ASM1845572v1_contig.fna	79.403	no match
Mycolicibacter_senuensis	GCA_003284925.1_ASM328492v1_contig.fna	Mycolicibacter_sinensis-GCA_000214155.1_ASM21415v1_genomic.fna	94.334	no match
Rhodococcus_equi	GCA_012393595.1_ASM1239359v1_contig.fna	Rhodococcus_hoagii-GCA_007672705.1_ASM767270v1_scaff.fna	99.272	no match
Rhodococcus_equi	GCA_016879735.1_ASM1687973v1_contig.fna	Rhodococcus_hoagii-GCA_000164155.2_ASM16415v2_chrom.fna	99.0066	no match
Rhodococcus_erythropolis	GCA_000747745.1_ASM74774v1_scaff.fna	Rhodococcus_qingshengii-GCA_021026075.1_ASM2102607v1_scaff.fna	99.7694	no match
Rhodococcus_erythropolis	GCA_001312745.1_ASM131274v1_contig.fna	Rhodococcus_equi-GCA_001687425.1_ASM168742v1_scaff.fna	98.7496	no match
Rhodococcus_opacus	GCA_000719995.1_ASM71999v1_contig.fna	Rhodococcus_erythropolis-GCA_000454045.1_ASM45404v1_genomic.fna	99.9814	no match
Rhodococcus_rhodnii	GCA_000720375.1_ASM72037v1_contig.fna	Rhodococcus_tukisamuensis-GCA_001894985.1_ASM189498v1_contig.fna	76.9492	no match
Rhodococcus_rhodochrous	GCA_001511235.1_Rhodococcus_rhodochrous_TRN7_contig.fna	Rhodococcus_ruber-GCA_001646835.1_ASM164683v1_contig.fna	99.0943	no match
Rhodococcus_rhodochrous	GCA_002003765.1_ASM200376v1_contig.fna	Rhodococcus_aetherivorans-GCA_000982715.1_ASM98271v1_genomic.fna	96.9072	no match
Rhodococcus_ruber	GCA_903797715.1_B645_scaff.fna	Rhodococcus_aetherivorans-GCA_000470885.1_RhoBCP1_1.0_chrom.fna	99.7581	no match
